time,stamp_sonde,stamp_ros,latitude,longitude,temperature,conductivity
1467929247491980000,1467943110000000000,1467929247488410000,34.1090196667,-117.712625333,26.9769992828,686.41998291
1467929253493170000,1467943112000000000,1467929253490450000,34.1090185,-117.712627167,26.9659996033,686.400024414
1467929259494330000,1467943116000000000,1467929259491270000,34.1090176667,-117.712628,26.9519996643,686.309997559
1467929265496810000,1467943118000000000,1467929265492320000,34.1090178333,-117.712629333,26.9510002136,686.219970703
1467929271499880000,1467943122000000000,1467929271486880000,34.1090176667,-117.712631,26.9580001831,685.960021973
1467929277502000000,1467943124000000000,1467929277490260000,34.1090178333,-117.712633667,26.9650001526,685.83001709
1467929283503180000,1467943128000000000,1467929283488610000,34.109018,-117.712636,26.9810009003,685.650024414
1467929289504280000,1467943130000000000,1467929289490720000,34.1090183333,-117.712637833,26.9890003204,685.599975586
1467929295505440000,1467943134000000000,1467929295488930000,34.1090186667,-117.712638833,27.0020008087,685.58001709
1467929301506990000,1467943136000000000,1467929301489130000,34.1090185,-117.712639833,27.0079994202,685.58001709
1467929307508290000,1467943140000000000,1467929307489510000,34.1090183333,-117.712641833,27.0219993591,685.570007324
1467929313509530000,1467943142000000000,1467929313492680000,34.1090191667,-117.7126435,27.031999588,685.549987793
1467929319510880000,1467943146000000000,1467929319488460000,34.1090185,-117.712645,27.045999527,685.530029297
1467929325512010000,1467943148000000000,1467929325490660000,34.109019,-117.712646833,27.0520000458,685.539978027
1467929331513150000,1467943152000000000,1467929331490590000,34.1090205,-117.712649,27.0620002747,685.570007324
1467928701520450000,1467942836000000000,1467928701482900000,34.1090215,-117.7126505,27.1639995575,687.030029297
1467928707487820000,1467942840000000000,1467928707482980000,34.1090211667,-117.712652167,27.1830005646,687.049987793
1467928713489830000,1467942842000000000,1467928713482240000,34.1090216667,-117.712654167,27.1909999847,687.059997559
1467928719491200000,1467942846000000000,1467928719482320000,34.109022,-117.7126555,27.2049999237,687.059997559
1467928725493600000,1467942848000000000,1467928725481820000,34.109022,-117.7126575,27.2119998932,687.059997559
1467928731494990000,1467942852000000000,1467928731481400000,34.1090216667,-117.7126595,27.2280006409,687.059997559
1467928737496540000,1467942854000000000,1467928737482270000,34.1090213333,-117.712661667,27.2380008698,687.08001709
1467928743497730000,1467942858000000000,1467928743482210000,34.1090221667,-117.712663333,27.2619991302,687.109985352
1467928749499880000,1467942860000000000,1467928749481200000,34.109023,-117.712664833,27.2709999084,687.130004883
1467928755501120000,1467942864000000000,1467928755482760000,34.1090231667,-117.712666167,27.2740001678,687.150024414
1467928761502810000,1467942866000000000,1467928761482390000,34.1090238333,-117.712666833,27.2670001984,687.150024414
1467928767505320000,1467942870000000000,1467928767482630000,34.109024,-117.712669,27.2369995117,687.08001709
1467928773505650000,1467942872000000000,1467928773481250000,34.1090248333,-117.712671167,27.218000412,687.030029297
